Name,Size,Level,Keywords,HP,AC,Tags,Source
Parasite Husk,Medium,3,"neutral evil, medium, mindless, undead",75,16,"mental, paralyzed",Battlezoo Bestiary: 71
Parrotbear,Large,4,"neutral, large, animal",60,21,"sneak attack, frightened",Battlezoo Bestiary: 72
Phase Tiger,Large,7,"uncommon, chaotic evil, large, beast",110,25,"pounce, sneak attack, ethereal, material",Battlezoo Bestiary: 73
Prismatic Ooze,Large,17,"rare, neutral, large, mindless, ooze",450,28,"dazzling, prismatic, engulf, swallow",Battlezoo Bestiary: 74
Puppeteer,Medium,11,"uncommon, neutral, medium, construct",250,29,"occult, minion",Battlezoo Bestiary: 75
Reaver Beaver,Medium,5,"neutral evil, medium, beast",95,20,acid,Battlezoo Bestiary: 76
Rope Golem,Large,6,"uncommon, neutral, large, construct, golem, mindless",125,22,"constrict, grabbed",Battlezoo Bestiary: 77
Ruin Bruiser,Medium,6,"uncommon, lawful neutral, medium, construct, earth",75,25,"shield, shove",Battlezoo Bestiary: 78
Runebranded Aurochs,Large,4,"neutral, large, animal",72,20,"climb, movement, lightning",Battlezoo Bestiary: 79
Salt Stalker,Medium,4,"neutral, medium, beast",70,20,"fluidsense, salt, climb, poison, sickened, fire",Battlezoo Bestiary: 80
Salt Scorcher,Medium,6,"neutral, medium, beast",120,22,"poison, grease, fire",Battlezoo Bestiary: 81
Salt Glider,Large,8,"neutral, large, beast",100,27,"fly, desert, glide, poison",Battlezoo Bestiary: 82
Salt Mother,Huge,10,"uncommon, neutral, huge, beast",220,28,"poison, auditory",Battlezoo Bestiary: 83
Sanguine Rose,Large,4,"neutral evil, large, mindless, plant, undead",65,20,"negative, olfactory, swallow",Battlezoo Bestiary: 84
Sapphire Drake,Large,7,"neutral evil, large, dragon, earth",120,24,"breath weapon, movement, sonic",Battlezoo Bestiary: 85
Scroll mold,Tiny,0,"neutral, tiny, fungus",16,12,"auditory, spellcaster, subtle",Battlezoo Bestiary: 86
Giant Sea Squirt,Medium,5,"neutral, medium, animal, aquatic, mindless",110,20,"swallow, poison, swim",Battlezoo Bestiary: 87
Sea Squirt Patch,Hazard,4,"aquatic, environmental",35,18,"swim, poison",Battlezoo Bestiary: 87
Semuvig,Small,23,"unique, chaotic evil, small, undead",455,48,"arcane, spellcaster, curse",Battlezoo Bestiary: 88
Senidaemon,Medium,8,"neutral evil, medium, daemon, fiend, incorporeal",130,26,"evil, necromancy, demon, curse, fly, spellcaster, divine",Battlezoo Bestiary: 89
Shadow Thief,Small,2,"uncommon, neutral, small, aberration",30,17,"memory, occult, swap shadow, transmutation",Battlezoo Bestiary: 90
Shadowless House Drake,Small,4,"rare, neutral evil, small, aberration, dragon",60,20,"telekinetic, breath weapon, negative",Battlezoo Bestiary: 91
Shale Spitter,Medium,2,"neutral, medium, animal, earth",30,18,"slowed, reaction",Battlezoo Bestiary: 92
Shale Swarm,Large,3,"neutral, large, animal, earth, shadow",30,19,"rock, earth, swarm, cover",Battlezoo Bestiary: 93
Shale Charger,Large,6,"neutral, large, animal, earth",100,24,"burrow, rock, movement",Battlezoo Bestiary: 94
Obsidian Shale Beast,Medium,10,"neutral, medium, animal, earth",170,31,"bleed, rock, auditory, transmutation",Battlezoo Bestiary: 95
Shale Behemoth,Gargantuan,18,"uncommon, neutral, gargantuan, animal, earth",415,41,"rock, persistent, sonic, auditory, deafened, stunned",Battlezoo Bestiary: 96
Shinglelurk,Huge,7,"neutral, huge, aberration",125,23,"swallow, mimic, fly",Battlezoo Bestiary: 97
Silk-Tailed Beetle,Small,2,"neutral, small, beast, fey",30,18,"dazzled, poison",Battlezoo Bestiary: 98
Siluvain,Medium,4,"lawful evil, medium, devil, fiend",40,20,"polymorph, transmutation, mental, shapechange",Battlezoo Bestiary: 99
Wispy Wayfarer,Small,2,"neutral evil, small, incorporeal, spirit, undead",20,18,"necromancer, divine, fly, negative",Battlezoo Bestiary: 100
Dishrag Dervish,Large,4,"chaotic evil, large, incorporeal, spirit, swarm, undead",35,19,"ectoplasm, sickened, necromancy, poison,",Battlezoo Bestiary: 101
Curtain Caller,Gargantuan,10,"chaotic evil, gargantuan, incorporeal, spirit, undead",180,27,"negative, paralyzed, fly, auditory",Battlezoo Bestiary: 102
Skeletal Monstrosity,Gargantuan,10,"neutral evil, gargantuan, mindless, skeleton, undead",160,29,"grabbed, frightened, trample",Battlezoo Bestiary: 103
Sklaggan,Medium,5,"neutral evil, medium, aberration, shadow",65,22,"occult, spellcaster, shadow, sickened",Battlezoo Bestiary: 104
Skotogelia,Tiny,5,"uncommon, neutral, tiny, fey, incorporeal, shadow",70,20,"occult, fly, spellcaster, shadow, material plane",Battlezoo Bestiary: 105
Slaugh,Large,8,"uncommon, neutral, large, undead",190,26,"divine, spellcaster, auditory, necromancy",Battlezoo Bestiary: 106
Solovei,Medium,6,"neutral, medium, animal",90,23,"sneak attack, auditory, clumsy, deafened",Battlezoo Bestiary: 107
Springjaw Doll,Small,1,"neutral, small, clockwork, construct, mindless",25,16,grabbed,Battlezoo Bestiary: 108
Swarm Assassin,Medium,3,"lawful evil, medium, humanoid, shadow, swarm",50,17,poison,Battlezoo Bestiary: 109
Temporal Manifestation,Medium,5,"rare, neutral evil, medium, aberration, time",70,22,"sickened, occult, spellcaster, swallow",Battlezoo Bestiary: 110
Thorn Crawler,Huge,10,"neutral, huge, plant",215,29,"plant, primal, swallow, drained, necromantic, life drain",Battlezoo Bestiary: 111
Toy Spy,Tiny,3,"neutral, tiny, construct, mindless",40,18,"toy, mimic, spellcaster, arcane, poison",Battlezoo Bestiary: 112
Toy Swarm,Large,2,"neutral, large, construct, mindless, swarm",20,18,"toy, persistent",Battlezoo Bestiary: 113
Trodaiche-Sidhe,Medium,6,"chaotic neutral, medium, fey, wild hunt",90,24,"attack of opportunity, repair",Battlezoo Bestiary: 114
Unarmored,Medium,12,"chaotic evil, medium, incorporeal, spirit, undead",190,30,"shield, teleportation, divine, necromancer, fly, armor",Battlezoo Bestiary: 115
Unraveler,Medium,7,"uncommon, chaotic neutral, medium, astral, chaotic",90,25,"occult, spellcaster, persistent",Battlezoo Bestiary: 116
Veenlijk,Medium,7,"neutral evil, medium, amphibious, undead",150,25,"fire, primal, spellcaster, grabbed",Battlezoo Bestiary: 117
Venomous Snakedead,Medium,2,"neutral evil, medium, mindless, undead",40,17,poison,Battlezoo Bestiary: 118
Warp Wyrm,Medium,8,"chaotic evil, medium, dragon, ethereal",140,26,"teleportation, time, breath weapon",Battlezoo Bestiary: 119
Wildfire Leshy,Small,2,"chaotic good, small, leshy, plant",40,16,"fire, primal, persistent, primal, spellcaster",Battlezoo Bestiary: 120
Windborne Dead,Medium,10,"rare, chaotic evil, medium, air, undead",170,30,"divine, fly, wind",Battlezoo Bestiary: 121
Yomhibdi,Medium,4,"chaotic neutral, medium, aberration, ethereal",70,20,"water, emotion, stupefied, blinded",Battlezoo Bestiary: 122
Ice Zuggle,Small,2,"chaotic neutral, small, cold, elemental, water",30,17,"poison, cold, climb",Battlezoo Bestiary: 123
